x,y_obs,y_calc,y_bkg,struct_CaNi(PO3)4_15_sym,struct_NiO_225_sym
12.3049,3106.0,3131.53,3125.8,5.71,0.02
12.3158,3072.0,3130.79,3124.99,5.78,0.02
12.3266,3085.0,3130.05,3124.18,5.85,0.02
12.3375,3126.0,3129.31,3123.36,5.92,0.02
12.3484,3050.0,3128.56,3122.55,5.99,0.02
12.3592,3117.0,3127.82,3121.73,6.07,0.02
12.3701,3067.0,3127.07,3120.91,6.14,0.02
12.381,3056.0,3126.32,3120.07,6.22,0.02
12.3918,3054.0,3125.57,3119.25,6.3,0.02
12.4027,3068.0,3124.82,3118.41,6.39,0.02
12.4136,3027.0,3124.07,3117.58,6.47,0.02
12.4244,3068.0,3123.32,3116.74,6.56,0.02
12.4353,3091.0,3122.57,3115.9,6.65,0.02
12.4462,3070.0,3121.82,3115.05,6.75,0.02
12.457,3139.0,3121.06,3114.2,6.84,0.02
12.4679,3037.0,3120.31,3113.34,6.94,0.02
12.4788,3087.0,3119.55,3112.49,7.04,0.02
12.4896,3050.0,3118.8,3111.63,7.15,0.02
12.5005,3138.0,3117.98,3110.77,7.19,0.02
12.5114,3068.0,3117.22,3109.9,7.3,0.02
12.5222,3054.0,3116.46,3109.03,7.41,0.02
12.5331,2979.0,3115.71,3108.15,7.53,0.02
12.544,3052.0,3114.95,3107.27,7.65,0.02
12.5548,3153.0,3114.19,3106.39,7.78,0.02
12.5657,3000.0,3113.44,3105.51,7.91,0.02
12.5766,3059.0,3112.69,3104.62,8.04,0.02
12.5874,3095.0,3111.93,3103.73,8.18,0.02
12.5983,3046.0,3111.18,3102.83,8.33,0.02
12.6092,3013.0,3110.44,3101.93,8.48,0.02
12.62,3063.0,3109.69,3101.03,8.64,0.02
12.6309,3148.0,3108.95,3100.13,8.8,0.02
12.6418,3072.0,3108.21,3099.21,8.97,0.02
12.6526,3060.0,3107.48,3098.3,9.15,0.02
12.6635,3124.0,3106.75,3097.38,9.34,0.02
12.6744,3090.0,3106.03,3096.46,9.54,0.02
12.6852,3111.0,3105.31,3095.54,9.75,0.02
12.6961,3021.0,3104.6,3094.61,9.96,0.02
12.707,3110.0,3103.9,3093.68,10.19,0.02
12.7178,3047.0,3103.2,3092.75,10.43,0.02
12.7287,3190.0,3102.52,3091.81,10.69,0.02
12.7396,3103.0,3101.84,3090.87,10.96,0.02
12.7504,3103.0,3101.18,3089.92,11.24,0.02
12.7613,3141.0,3100.54,3088.97,11.54,0.02
12.7722,3112.0,3099.91,3088.02,11.86,0.02
12.783,3059.0,3099.29,3087.06,12.21,0.02
12.7939,3097.0,3098.7,3086.1,12.57,0.02
12.8048,2996.0,3098.12,3085.14,12.96,0.02
12.8156,3113.0,3097.57,3084.17,13.38,0.02
12.8265,3157.0,3097.05,3083.2,13.82,0.02
12.8374,3097.0,3096.55,3082.23,14.3,0.02
12.8482,3063.0,3096.09,3081.25,14.81,0.02
12.8591,3035.0,3095.66,3080.27,15.36,0.02
12.87,3109.0,3095.27,3079.29,15.95,0.02
12.8808,2997.0,3094.92,3078.3,16.59,0.02
12.8917,3062.0,3094.61,3077.31,17.28,0.02
12.9026,3114.0,3094.36,3076.32,18.02,0.02
12.9134,3157.0,3094.16,3075.32,18.81,0.02
12.9243,3074.0,3094.01,3074.32,19.67,0.02
12.9352,3062.0,3093.29,3073.32,19.95,0.02
12.946,3012.0,3093.23,3072.31,20.89,0.02
12.9569,3064.0,3093.23,3071.3,21.91,0.02
12.9678,3012.0,3093.31,3070.29,22.99,0.02
12.9786,3076.0,3093.46,3069.27,24.16,0.02
12.9895,2998.0,3093.69,3068.25,25.41,0.02
13.0004,2939.0,3094.01,3067.23,26.75,0.02
13.0112,3116.0,3094.42,3066.21,28.19,0.02
13.0221,3103.0,3094.92,3065.18,29.72,0.02
13.033,3066.0,3095.54,3064.15,31.37,0.02
13.0438,3026.0,3096.27,3063.11,33.14,0.02
13.0547,3106.0,3097.13,3062.07,35.03,0.02
13.0656,3039.0,3098.12,3061.03,37.06,0.02
13.0764,3091.0,3099.26,3059.99,39.24,0.02
13.0873,3024.0,3100.55,3058.94,41.58,0.02
13.0982,3067.0,3102.01,3057.89,44.09,0.02
13.109,3183.0,3103.64,3056.84,46.77,0.02
13.1199,3075.0,3105.44,3055.79,49.63,0.02
13.1308,3188.0,3107.43,3054.73,52.67,0.02
13.1416,3100.0,3109.59,3053.67,55.9,0.02
13.1525,3147.0,3111.94,3052.61,59.31,0.02
13.1634,3128.0,3114.48,3051.54,62.91,0.02
13.1742,3161.0,3117.2,3050.47,66.7,0.02
13.1851,3090.0,3120.1,3049.4,70.68,0.02
13.196,3138.0,3123.19,3048.33,74.84,0.02
13.2068,3101.0,3126.45,3047.25,79.18,0.02
13.2177,3195.0,3129.87,3046.17,83.68,0.02
13.2286,3097.0,3133.43,3045.09,88.32,0.02
13.2394,3092.0,3137.11,3044.01,93.08,0.02
13.2503,3047.0,3140.86,3042.92,97.92,0.02
13.2612,3179.0,3144.66,3041.83,102.8,0.02
13.272,3125.0,3148.45,3040.74,107.68,0.02
13.2829,3058.0,3152.15,3039.65,112.48,0.02
13.2938,3079.0,3155.67,3038.55,117.09,0.02
13.3046,3104.0,3158.88,3037.45,121.4,0.02
13.3155,3061.0,3161.6,3036.35,125.23,0.02
13.3264,3060.0,3163.63,3035.25,128.35,0.02
13.3372,3048.0,3164.69,3034.15,130.52,0.02
13.3481,3128.0,3164.52,3033.04,131.46,0.02
13.359,2981.0,3162.89,3031.93,130.93,0.02
13.3698,3005.0,3159.66,3030.82,128.81,0.02
13.3807,2992.0,3156.53,3029.71,126.8,0.02
13.3916,3075.0,3150.09,3028.6,121.47,0.02
13.4024,3000.0,3142.6,3027.48,115.1,0.02
13.4133,3052.0,3134.5,3026.36,108.12,0.02
13.4242,3105.0,3126.23,3025.24,100.97,0.02
13.435,3051.0,3118.15,3024.12,94.0,0.02
13.4459,2986.0,3110.52,3023.0,87.5,0.02
13.4568,2961.0,3103.53,3021.87,81.64,0.02
13.4676,2888.0,3097.26,3020.74,76.49,0.02
13.4785,2971.0,3091.73,3019.61,72.09,0.02
13.4894,2839.0,3086.93,3018.48,68.43,0.02
13.5002,2956.0,3082.85,3017.35,65.47,0.02
13.5111,2954.0,3079.43,3016.22,63.19,0.02
13.522,2914.0,3076.63,3015.08,61.53,0.02
13.5328,2929.0,3074.41,3013.95,60.44,0.02
13.5437,2935.0,3072.7,3012.81,59.87,0.02
13.5546,2972.0,3071.45,3011.67,59.76,0.02
13.5654,2996.0,3070.63,3010.53,60.08,0.02
13.5763,3009.0,3070.19,3009.39,60.78,0.02
13.5872,2963.0,3070.1,3008.24,61.84,0.02
13.598,2987.0,3070.34,3007.1,63.22,0.02
13.6089,2952.0,3070.9,3005.95,64.92,0.02
13.6198,3066.0,3071.76,3004.8,66.93,0.02
13.6306,3037.0,3072.92,3003.66,69.24,0.02
13.6415,3048.0,3074.4,3002.51,71.87,0.02
13.6524,2929.0,3076.19,3001.36,74.81,0.02
13.6632,3008.0,3078.32,3000.2,78.1,0.02
13.6741,2968.0,3080.81,2999.05,81.73,0.02
13.685,3001.0,3083.67,2997.9,85.75,0.02
13.6958,3055.0,3086.95,2996.75,90.18,0.02
13.7067,2950.0,3090.66,2995.59,95.04,0.02
13.7176,2954.0,3094.85,2994.43,100.39,0.02
13.7284,3055.0,3099.56,2993.28,106.26,0.02
13.7393,3015.0,3104.84,2992.12,112.7,0.02
13.7502,3064.0,3110.75,2990.96,119.76,0.02
13.761,2995.0,3117.34,2989.8,127.51,0.02
13.7719,3032.0,3124.68,2988.64,136.01,0.02
13.7828,2982.0,3132.83,2987.48,145.33,0.02
13.7936,3131.0,3141.89,2986.32,155.54,0.02
13.8045,2952.0,3151.92,2985.16,166.73,0.02
13.8154,3139.0,3163.01,2984.0,178.99,0.02
13.8262,2992.0,3175.27,2982.84,192.41,0.02
13.8371,3135.0,3177.96,2981.68,196.26,0.02
13.848,3108.0,3191.88,2980.51,211.35,0.02
13.8588,3093.0,3207.21,2979.35,227.84,0.02
13.8697,3170.0,3224.05,2978.19,245.84,0.02
13.8805,3174.0,3242.52,2977.02,265.47,0.02
13.8914,3114.0,3262.73,2975.86,286.85,0.02
13.9023,3151.0,3284.82,2974.69,310.1,0.02
13.9131,3158.0,3308.9,2973.53,335.35,0.02
13.924,3301.0,3335.14,2972.36,362.75,0.02
13.9349,3247.0,3363.68,2971.2,392.46,0.02
13.9457,3367.0,3394.73,2970.04,424.67,0.02
13.9566,3225.0,3428.47,2968.87,459.58,0.02
13.9675,3293.0,3465.16,2967.71,497.43,0.02
13.9783,3283.0,3505.06,2966.54,538.5,0.02
13.9892,3413.0,3548.48,2965.38,583.08,0.02
14.0001,3326.0,3595.74,2964.21,631.51,0.02
14.0109,3446.0,3647.19,2963.05,684.12,0.02
14.0218,3494.0,3703.15,2961.88,741.24,0.02
14.0327,3447.0,3763.93,2960.72,803.19,0.02
14.0435,3636.0,3829.84,2959.56,870.25,0.02
14.0544,3606.0,3901.08,2958.39,942.67,0.03
14.0653,3751.0,3977.9,2957.23,1020.64,0.03
14.0761,3771.0,4060.45,2956.07,1104.36,0.03
14.087,3902.0,4148.92,2954.91,1193.99,0.03
14.0979,3884.0,4243.45,2953.75,1289.68,0.03
14.1087,4102.0,4344.18,2952.59,1391.57,0.03
14.1196,4004.0,4451.1,2951.42,1499.65,0.03
14.1305,4209.0,4564.12,2950.26,1613.83,0.03
14.1413,4310.0,4682.85,2949.1,1733.72,0.03
14.1522,4491.0,4806.73,2947.95,1858.76,0.03
14.1631,4676.0,4934.96,2946.79,1988.14,0.03
14.1739,4719.0,5066.53,2945.63,2120.87,0.03
14.1848,4920.0,5200.2,2944.47,2255.7,0.03
14.1957,5069.0,5334.37,2943.32,2391.02,0.03
14.2065,5163.0,5466.88,2942.16,2524.69,0.03
14.2174,5145.0,5594.88,2941.01,2653.85,0.03
14.2283,5422.0,5714.45,2939.86,2774.57,0.03
14.2391,5650.0,5820.55,2938.7,2881.83,0.03
14.25,5639.0,5906.71,2937.55,2969.13,0.03
14.2609,5855.0,5965.1,2936.4,3028.67,0.03
14.2717,5725.0,5987.31,2935.25,3052.03,0.03
14.2826,5784.0,5965.93,2934.1,3031.8,0.03
14.2935,5555.0,5896.58,2932.96,2963.59,0.03
14.3043,5544.0,5779.45,2931.81,2847.61,0.03
14.3152,5329.0,5675.84,2930.66,2745.15,0.03
14.3261,5244.0,5474.98,2929.52,2545.43,0.03
14.3369,5035.0,5251.28,2928.38,2322.88,0.03
14.3478,4739.0,5017.51,2927.23,2090.25,0.03
14.3587,4539.0,4785.14,2926.09,1859.02,0.03
14.3695,4456.0,4563.22,2924.95,1638.24,0.03
14.3804,4237.0,4357.77,2923.82,1433.93,0.03
14.3913,4015.0,4171.94,2922.68,1249.23,0.03
14.4021,3760.0,4006.82,2921.54,1085.25,0.03
14.413,3771.0,3862.02,2920.41,941.58,0.03
14.4239,3776.0,3736.36,2919.28,817.06,0.03
14.4347,3599.0,3628.15,2918.15,709.98,0.03
14.4456,3503.0,3535.58,2917.02,618.54,0.03
14.4565,3529.0,3456.74,2915.89,540.82,0.03
14.4673,3532.0,3389.81,2914.76,475.02,0.03
14.4782,3511.0,3333.07,2913.64,419.4,0.03
14.4891,3497.0,3284.91,2912.51,372.37,0.03
14.4999,3463.0,3243.92,2911.39,332.5,0.03
14.5108,3612.0,3208.86,2910.27,298.56,0.03
14.5217,3668.0,3178.71,2909.15,269.53,0.03
14.5325,3557.0,3152.62,2908.04,244.55,0.03
14.5434,3658.0,3129.88,2906.92,222.93,0.03
14.5543,3606.0,3109.93,2905.81,204.1,0.03
14.5651,3682.0,3092.33,2904.7,187.61,0.03
14.576,3653.0,3076.69,2903.59,173.08,0.03
14.5869,3693.0,3062.72,2902.48,160.22,0.03
14.5977,3707.0,3050.18,2901.37,148.78,0.03
14.6086,3814.0,3038.85,2900.27,138.55,0.03
14.6195,3755.0,3028.57,2899.17,129.38,0.03
14.6303,3822.0,3019.21,2898.07,121.11,0.03
14.6412,3878.0,3010.63,2896.97,113.64,0.03
14.6521,3787.0,3002.76,2895.87,106.86,0.03
14.6629,3725.0,2995.49,2894.78,100.69,0.03
14.6738,3744.0,2988.76,2893.69,95.05,0.03
14.6847,3727.0,2982.52,2892.6,89.89,0.03
14.6955,3663.0,2976.69,2891.51,85.16,0.03
14.7064,3454.0,2971.25,2890.42,80.8,0.03
14.7173,3567.0,2966.15,2889.34,76.78,0.03
14.7281,3487.0,2961.35,2888.26,73.07,0.03
14.739,3349.0,2956.83,2887.18,69.63,0.03
14.7499,3290.0,2952.56,2886.1,66.44,0.03
14.7607,3372.0,2948.52,2885.02,63.47,0.03
14.7716,3236.0,2944.68,2883.95,60.7,0.03
14.7825,3128.0,2941.03,2882.88,58.12,0.03
14.7933,3082.0,2937.55,2881.81,55.71,0.03
14.8042,3035.0,2934.23,2880.75,53.46,0.03
14.8151,3027.0,2930.74,2879.68,51.03,0.03
14.8259,3031.0,2927.71,2878.62,49.06,0.03
14.8368,3013.0,2924.8,2877.56,47.21,0.03
14.8477,3003.0,2922.0,2876.51,45.47,0.03
14.8585,2986.0,2919.31,2875.45,43.83,0.03
14.8694,2983.0,2916.71,2874.4,42.28,0.03
14.8803,2873.0,2914.2,2873.35,40.82,0.03
14.8911,2859.0,2911.77,2872.31,39.44,0.03
14.902,2907.0,2909.42,2871.26,38.13,0.03
14.9129,2885.0,2907.14,2870.22,36.89,0.03
14.9237,2800.0,2904.93,2869.18,35.71,0.03
14.9346,2945.0,2902.77,2868.15,34.6,0.03
14.9455,2915.0,2900.68,2867.11,33.54,0.03
14.9563,2837.0,2898.64,2866.08,32.53,0.03
14.9672,2805.0,2896.65,2865.05,31.57,0.03
14.9781,2957.0,2894.71,2864.03,30.65,0.03
14.9889,2798.0,2892.81,2863.01,29.78,0.03
14.9998,2823.0,2890.96,2861.99,28.95,0.03
15.0107,2847.0,2889.15,2860.97,28.16,0.03
15.0215,2858.0,2887.38,2859.95,27.4,0.03
15.0324,2764.0,2885.64,2858.94,26.67,0.03
15.0433,2726.0,2883.93,2857.93,25.98,0.03
15.0541,2864.0,2882.26,2856.92,25.31,0.03
15.065,2894.0,2880.62,2855.92,24.68,0.03
15.0759,2858.0,2879.01,2854.92,24.07,0.03
15.0867,2890.0,2877.43,2853.92,23.48,0.03
15.0976,2811.0,2875.87,2852.93,22.92,0.03
15.1085,2721.0,2874.34,2851.93,22.38,0.03
15.1193,2829.0,2872.83,2850.94,21.86,0.03
15.1302,2926.0,2871.35,2849.96,21.37,0.03
15.1411,2864.0,2869.89,2848.97,20.89,0.03
15.1519,3045.0,2868.45,2847.99,20.43,0.03
15.1628,2926.0,2867.03,2847.01,19.99,0.03
15.1737,2834.0,2865.63,2846.04,19.56,0.03
15.1845,2891.0,2864.24,2845.07,19.15,0.03
15.1954,2955.0,2862.88,2844.1,18.75,0.03
15.2063,2847.0,2861.53,2843.13,18.37,0.03
15.2171,2898.0,2860.2,2842.17,18.0,0.03
15.228,2950.0,2858.89,2841.21,17.65,0.03
15.2389,2902.0,2857.59,2840.25,17.31,0.03
15.2497,2880.0,2856.31,2839.3,16.98,0.03
